date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:41:50	1/1	---M--	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2009:41:48%20GMT	https://www.spendee.com/robots.txt		(from )
16:41:50	42784/42784	---M-Z	200	added ('OK')	text/html	date:Fri,%2006%20Oct%202017%2009:41:48%20GMT	https://www.spendee.com/	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/index.html	(from )
16:41:51	4357/4357	---M--	200	added ('OK')	image/png	etag:%221105-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-57x57.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-57x573860.png	(from https://www.spendee.com/)
16:41:52	4543/4543	---M--	200	added ('OK')	image/png	etag:%2211bf-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-60x60.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-60x603860.png	(from https://www.spendee.com/)
16:41:53	5513/5513	---M--	200	added ('OK')	image/png	etag:%221589-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-72x72.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-72x723860.png	(from https://www.spendee.com/)
16:41:54	5774/5774	---M--	200	added ('OK')	image/png	etag:%22168e-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-76x76.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-76x763860.png	(from https://www.spendee.com/)
16:41:55	9094/9094	---M--	200	added ('OK')	image/png	etag:%222386-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-114x114.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-114x1143860.png	(from https://www.spendee.com/)
16:41:56	9483/9483	---M--	200	added ('OK')	image/png	etag:%22250b-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-120x120.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-120x1203860.png	(from https://www.spendee.com/)
16:41:57	11788/11788	---M--	200	added ('OK')	image/png	etag:%222e0c-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-144x144.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-144x1443860.png	(from https://www.spendee.com/)
16:41:57	12498/12498	---M--	200	added ('OK')	image/png	etag:%2230d2-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-152x152.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-152x1523860.png	(from https://www.spendee.com/)
16:41:59	15277/15277	---M--	200	added ('OK')	image/png	etag:%223bad-55660fe02d180%22	https://www.spendee.com/img/favicons/apple-icon-180x180.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/apple-icon-180x1803860.png	(from https://www.spendee.com/)
16:41:59	14148/14148	---M--	200	added ('OK')	image/png	etag:%223744-55660fe02d180%22	https://www.spendee.com/img/favicons/android-icon-192x192.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/android-icon-192x1923860.png	(from https://www.spendee.com/)
16:42:00	2430/2430	---M--	200	added ('OK')	image/png	etag:%2297e-55660fe02d180%22	https://www.spendee.com/img/favicons/favicon-32x32.png?v=1	C:/My%20Web%20Sites/https___www.spendee.com/www.spendee.com/img/favicons/favicon-32x323860.png	(from https://www.spendee.com/)
